AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area,longitude,latitude
1.9675599999999998e-06,0.00614575584,Boga-Lake_0001,74.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.a (>67.500),Tad Knaggs,0.00614575615,1.9675599999999998e-06,143.648999,-35.432988
1.96334e-06,0.00601490505,Boga-Lake_0002,74.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.b (>67.500),Tad Knaggs,0.00601490445,1.96334e-06,143.655094,-35.435687
2.33412e-06,0.00674769666,Boga-Lake_0003,74.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,4/01/2012,,7.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.c (>67.500),Tad Knaggs,0.006747696059999999,2.33412e-06,143.638547,-35.464107
1.6950599999999996e-06,0.005331949029999999,Boga-Lake_0004,74.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.d (>67.500),Tad Knaggs,0.00533194981,1.6950599999999996e-06,143.630014,-35.453967
3.6131199999999995e-06,0.008793134329999999,Boga-Lake_0005,74.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/01/2012,,7.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.e (>67.500),Tad Knaggs,0.00879313423,3.6131199999999995e-06,143.628518,-35.446054
1.23641e-06,0.005634723879999999,Bolac-Lake_0001,40.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77.0,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.a,Tad Knaggs,0.0056347233900000005,1.23641e-06,142.842771,-37.745255
2.01851e-06,0.00838062348,Bolac-Lake_0004,40.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77.0,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.d,Tad Knaggs,0.008380624120000001,2.01851e-06,142.843468,-37.720917
3.4509699999999997e-06,0.01382426699,Bolac-Lake_0002,40.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77.0,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.b,Tad Knaggs,0.013824266969999999,3.4509699999999997e-06,142.86402,-37.747235
1.32137e-06,0.00534320833,Bolac-Lake_0003,40.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77.0,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.c,Tad Knaggs,0.00534320799,1.32137e-06,142.878115,-37.721622
7.74e-08,0.00125871061,BridgewaterLakes_0001,134.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/11/2011,,9.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.a,Tad Knaggs,0.00125871136,7.74e-08,141.404813,-38.319262
6.888999999999999e-08,0.00107487379,BridgewaterLakes_0002,134.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/11/2011,,9.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.b,Tad Knaggs,0.00107487213,6.888999999999999e-08,141.399393,-38.30572
9.866200000000001e-07,0.004671490239999999,Buffalo-Lake_0001,96.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/07/2011,,10.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.a,Tad Knaggs,0.00467148961,9.866200000000001e-07,146.663335,-36.719882
6.1648e-07,0.00335498677,Buffalo-Lake_0002,96.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/07/2011,,10.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.b,Tad Knaggs,0.0033549866600000003,6.1648e-07,146.656656,-36.725742
3.8122e-07,0.00260192435,BullenMerri-Lake_0002,116.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,26/05/2011,,11.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 116, Clause 5",SkiingPermitted.png,116-3,Tad Knaggs,0.00260192514,3.8122e-07,143.094391,-38.259694
1.97571e-06,0.00617959829,Burrumbeet-Lake_0002,43.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,16/03/2012,,12.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.a,Tad Knaggs,0.006179597679999999,1.97571e-06,143.650845,-37.531023
1.47891e-06,0.00507894965,Burrumbeet-Lake_0003,43.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,8/03/2012,,12.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.b,Tad Knaggs,0.00507895026,1.47891e-06,143.640375,-37.532463
7.26911e-06,0.01865063292,Burrumbeet-Lake_0004,43.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,16/03/2012,,12.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.c,Tad Knaggs,0.01865063266,7.26911e-06,143.632644,-37.531737
5.6663e-07,0.00390816968,CurdiesRiver_0002,24.0,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,29/05/2009,,17.0,,No Wash,,0,,AUTO,"Refer to Schedule 024, Clause 11",NA.png,024-3,Brad Griffiths,0.00390816991,5.6663e-07,142.834625,-38.518788
5.3889e-07,0.0044737968200000006,GreenHillLake_0001,54.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,1/12/2011,,25.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 054, Clause 5",SkiingPermitted.png,054-1,Tad Knaggs,0.0044737979,5.3889e-07,142.977022,-37.295781
7.376999999999999e-07,0.00380868429,GunbowerCreek_0001,73.0,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,16/12/2011,,26.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 073, Clause 5",SkiingPermitted.png,073-2,Tad Knaggs,0.00380868448,7.376999999999999e-07,144.252108,-35.807029
2.0145e-07,0.00194712117,Hamilton-Lake_0007,38.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/05/2012,,27.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.a,Tad Knaggs,0.00194712102,2.0145e-07,142.039779,-37.733434
1.467e-07,0.00158481819,Hamilton-Lake_0008,38.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/05/2012,,27.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.b,Tad Knaggs,0.00158481794,1.467e-07,142.037475,-37.73477
2.9524e-07,0.00227116517,KangarooLake_0001,140.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/07/2011,,30.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.a,Tad Knaggs,0.00227116424,2.9524e-07,143.76792,-35.554551
3.7572e-07,0.0025688380399999998,KangarooLake_0002,140.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/07/2011,,30.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.b,Tad Knaggs,0.00256883741,3.7572e-07,143.767371,-35.554613
7.2222e-07,0.00385365477,KangarooLake_0003,140.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/07/2011,,30.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.c,Tad Knaggs,0.00385365561,7.2222e-07,143.766477,-35.590244
2.6631e-07,0.00208522778,KangarooLake_0004,140.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/07/2011,,30.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.d,Tad Knaggs,0.00208522875,2.6631e-07,143.766752,-35.594188
2.3570999999999998e-07,0.00228231593,Laanecoorie_0001,65.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,25/07/2011,,32.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 065, Clause 5",SkiingPermitted.png,065-1 (>31.5%),Tad Knaggs,0.0022823162,2.3570999999999998e-07,143.887268,-36.835573
