AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area,longitude,latitude
1.97E-06,0.006145756,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.a (>67.500),Tad Knaggs,0.006145756,1.97E-06,143.648999,-35.432988
1.96E-06,0.006014905,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.b (>67.500),Tad Knaggs,0.006014904,1.96E-06,143.655094,-35.435687
2.33E-06,0.006747697,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,4/1/2012,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.c (>67.500),Tad Knaggs,0.006747696,2.33E-06,143.638547,-35.464107
1.70E-06,0.005331949,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.d (>67.500),Tad Knaggs,0.00533195,1.70E-06,143.630014,-35.453967
3.61E-06,0.008793134,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/1/2012,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.e (>67.500),Tad Knaggs,0.008793134,3.61E-06,143.628518,-35.446054
1.24E-06,0.005634724,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.a,Tad Knaggs,0.005634723,1.24E-06,142.842771,-37.745255
2.02E-06,0.008380623,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.d,Tad Knaggs,0.008380624,2.02E-06,142.843468,-37.720917
3.45E-06,0.013824267,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.b,Tad Knaggs,0.013824267,3.45E-06,142.86402,-37.747235
1.32E-06,0.005343208,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.c,Tad Knaggs,0.005343208,1.32E-06,142.878115,-37.721622
7.74E-08,0.001258711,Bridgewater Lakes,134,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/11/2011,,9,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.a,Tad Knaggs,0.001258711,7.74E-08,141.404813,-38.319262
