STATION,STNAME,LATITUDE,LONGITUDE,FISHING,FISH,Field pH,Field DO,Field Temp,Field SampTemp,Field AirTemp,Field SampDepth,Field Turb,Field EC,EC,Color,Temp,pH,Total Alk,BiCarb,Cab,OH,Hardness,CalcHardness,Calc TDS,TSS,Ca,Cl,Mg,Nitrate,Nitrite,NO3+NO2,Ammonia,Kjeldahl N,Total N,DO,Total P,FRP,K,Na,SO4,Al,As,Cd,Cr,Cu,F,Fe,Pb,Mn,Hg,Mo,Ni,Se,SiO2,Zn,Anions,Cations,TOC,DOC,Chlorophyll-a,Phaeophytin,LOCATION,BOATING,ZONETYPE,ZONESUBTYP,DISPLAY_HE,ZONEID
221001,GENOA RIVER,-37.13865499,149.3172961,1,"Bream, Estuary perch, Bass",319,312,0,0,0,315,331,0,0,331,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,9,331,0,0,331,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROCKTON,0,,,,
221201,CANN RIVER (WEST BRANCH),-37.37293559,149.1986606,0,,360,354,0,0,0,358,372,0,0,370,0,0,2,0,0,0,0,0,0,369,2,2,2,0,0,0,9,370,0,0,370,364,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,WEERAGUA,0,,,,
221207,ERRINUNDRA RIVER,-37.44703719,148.9152556,0,,464,457,0,0,0,464,476,0,0,294,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,9,294,0,0,295,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERRINUNDRA,0,,,,
221208,WINGAN RIVER,-37.688768,149.4917673,0,,345,339,0,0,0,344,357,0,0,211,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,9,210,0,0,210,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WINGAN INLET NATIONAL PARK,0,,,,
221209,CANN RIVER (EAST BRANCH),-37.35543111,149.2070458,0,,192,192,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WEERAGUA,0,,,,
221210,GENOA RIVER,-37.41577078,149.5203757,1,"Bream, Estuary perch, Bass",362,355,0,0,0,360,374,0,0,370,0,0,2,0,0,0,0,0,0,370,2,2,2,0,0,0,9,370,0,0,370,363,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,THE GORGE,0,,,,
221211,COMBIENBAR RIVER,-37.44019449,148.9831348,0,,224,221,0,0,0,222,233,0,0,228,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,3,227,0,0,228,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMBIENBAR,0,,,,
221212,BEMM RIVER,-37.60712619,148.9016487,1,"Flathead, Bream, Bass, Estuary perch",362,355,0,0,0,359,372,0,0,364,0,0,2,0,0,0,0,0,0,364,2,2,2,0,0,0,9,364,0,0,365,359,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,PRINCES HIGHWAY,0,,,,
221218,BETKA RIVER,-37.59533524,149.6356182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINERS TRACK,0,,,,
221224,CANN RIVER,-37.53864684,149.156689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANN RIVER OFFTAKE,0,,,,
221225,BEMM RIVER,-37.72962305,148.9510043,1,"Flathead, Bream, Bass, Estuary perch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMPHOUSE,0,,,,
221800,RAINGAUGE (GENOA RIVER),-37.41666667,149.5166667,1,"Bream, Estuary Perch, Bass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE GORGE,0,,,,
222200,SNOWY RIVER,-37.66108607,148.3613139,0,,361,353,0,0,0,359,374,0,0,367,0,0,1,0,0,0,0,0,0,356,1,1,1,0,0,0,9,367,0,0,367,364,1,1,1,0,216,216,216,216,0,1,216,1,216,0,216,0,1,216,0,0,1,0,0,0,JARRAHMOND,0,,,,
222201,SNOWY RIVER,-37.70739307,148.4509503,0,,96,96,0,0,0,96,96,0,0,71,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,71,0,0,71,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORBOST,0,,,,
222202,BRODRIBB RIVER,-37.51153449,148.5473254,0,,362,355,0,0,0,359,375,0,0,365,0,0,1,0,0,0,0,0,0,364,1,1,1,0,0,0,9,364,0,0,363,362,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,SARDINE CREEK,0,,,,
222203,SNOWY RIVER,-37.79888889,148.5277778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARLO JETTY,0,,,,
222205,SNOWY RIVER,-37.751804,148.519811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWMERELLA-LOCHEND ROAD,0,,,,
222206,BUCHAN RIVER,-37.49584324,148.1732424,0,,313,308,0,0,0,311,325,0,0,323,0,0,2,0,0,0,0,0,0,322,2,2,2,0,0,0,8,323,0,0,323,319,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,BUCHAN,0,,,,
222209,SNOWY RIVER,-37.08362756,148.4132551,0,,361,357,0,0,0,359,373,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,8,365,1,0,366,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MCKILLOP BRIDGE,0,,,,
222210,DEDDICK RIVER,-37.0853747,148.4241522,0,,277,277,0,0,0,276,277,0,0,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,99,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEDDICK (CASEYS),0,,,,
222213,SUGGAN BUGGAN RIVER,-36.95505536,148.3259208,0,,272,272,0,0,0,272,272,0,0,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,98,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUGGAN BUGGAN,0,,,,
222217,RODGER RIVER,-37.41015604,148.3598666,0,,346,338,0,0,0,342,359,0,0,324,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,8,322,0,0,321,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JACKSONS CROSSING,0,,,,
222219,SNOWY RIVER,-37.49908473,148.2736248,0,,175,174,0,0,0,174,179,0,0,183,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,3,183,0,0,183,182,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,D/S OF BASIN CREEK,0,,,,
222221,BUCHAN RIVER,-37.47048385,148.1746891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGW OFFTAKE,0,,,,
222222,ROCKY RIVER,-37.62893922,148.6538508,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OT THE WEIR,0,,,,
223202,TAMBO RIVER,-37.2687812,147.7288186,1,"Bream, Luderick, Flathead, Mulloway",362,364,0,0,0,362,378,0,0,375,0,1,2,0,0,0,0,0,0,375,2,2,2,0,0,0,7,375,0,0,375,365,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,SWIFTS CREEK,0,,,,
223204,NICHOLSON RIVER,-37.59294631,147.697124,0,,346,349,0,0,0,346,362,0,0,329,0,1,0,0,0,0,0,0,0,329,0,0,0,0,0,0,8,330,0,0,330,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEPTFORD,0,,,,
